date,price,day,day_of_week,month,lag_1,lag_2,lag_3,lag_7
2026-04-04 22:00:27.623,67354.82243829477,0,5,4,67253.3977870876,67280.01729605702,67286.25215676849,67161.09858028076
2026-04-04 23:02:32.041,67387.66168189244,0,5,4,67354.82243829477,67253.3977870876,67280.01729605702,67358.32039965459
2026-04-05 00:02:09.113,67305.53270568071,0,6,4,67387.66168189244,67354.82243829477,67253.3977870876,67433.23263448066
2026-04-05 01:01:47.635,67194.73102381348,0,6,4,67305.53270568071,67387.66168189244,67354.82243829477,67337.99609944993
2026-04-05 02:01:43.286,67097.64999707985,0,6,4,67194.73102381348,67305.53270568071,67387.66168189244,67286.25215676849
2026-04-05 03:02:17.943,67159.48840990113,0,6,4,67097.64999707985,67194.73102381348,67305.53270568071,67280.01729605702
2026-04-05 04:02:06.836,67116.68074067455,0,6,4,67159.48840990113,67097.64999707985,67194.73102381348,67253.3977870876
2026-04-05 05:02:50.222,67088.16878284267,0,6,4,67116.68074067455,67159.48840990113,67097.64999707985,67354.82243829477
2026-04-05 06:01:04.455,66898.91046104902,0,6,4,67088.16878284267,67116.68074067455,67159.48840990113,67387.66168189244
2026-04-05 07:03:09.468,66834.55616852113,0,6,4,66898.91046104902,67088.16878284267,67116.68074067455,67305.53270568071
2026-04-05 08:03:19.058,66795.06711340805,0,6,4,66834.55616852113,66898.91046104902,67088.16878284267,67194.73102381348
2026-04-05 09:03:09.361,66909.58641953235,0,6,4,66795.06711340805,66834.55616852113,66898.91046104902,67097.64999707985
2026-04-05 10:03:24.024,67013.36757024149,0,6,4,66909.58641953235,66795.06711340805,66834.55616852113,67159.48840990113
2026-04-05 11:03:01.599,67035.71402873952,0,6,4,67013.36757024149,66909.58641953235,66795.06711340805,67116.68074067455
2026-04-05 12:04:08.122,66983.49768825137,0,6,4,67035.71402873952,67013.36757024149,66909.58641953235,67088.16878284267
2026-04-05 13:04:13.417,66767.0131421243,0,6,4,66983.49768825137,67035.71402873952,67013.36757024149,66898.91046104902
2026-04-05 14:02:59.659,66876.89335408386,0,6,4,66767.0131421243,66983.49768825137,67035.71402873952,66834.55616852113
2026-04-05 15:03:18.934,66905.41123953745,1,6,4,66876.89335408386,66767.0131421243,66983.49768825137,66795.06711340805
2026-04-05 16:01:16.102,67283.50017521076,1,6,4,66905.41123953745,66876.89335408386,66767.0131421243,66909.58641953235
2026-04-05 17:03:30.347,67187.35275626543,1,6,4,67283.50017521076,66905.41123953745,66876.89335408386,67013.36757024149
2026-04-05 18:03:49.690,67332.04972364994,1,6,4,67187.35275626543,67283.50017521076,66905.41123953745,67035.71402873952
2026-04-05 19:03:33.994,67359.54022197741,1,6,4,67332.04972364994,67187.35275626543,67283.50017521076,66983.49768825137
2026-04-05 20:03:34.804,67312.40029436244,1,6,4,67359.54022197741,67332.04972364994,67187.35275626543,66767.0131421243
2026-04-05 21:03:35.526,67618.85865651761,1,6,4,67312.40029436244,67359.54022197741,67332.04972364994,66876.89335408386
2026-04-05 22:02:32.830,67524.98600017147,1,6,4,67618.85865651761,67312.40029436244,67359.54022197741,66905.41123953745
2026-04-05 23:02:48.902,68319.43753253935,1,6,4,67524.98600017147,67618.85865651761,67312.40029436244,67283.50017521076
2026-04-06 00:02:53.324,68985.52642694542,1,0,4,68319.43753253935,67524.98600017147,67618.85865651761,67187.35275626543
